gene,hits
MTND1P23,0
MTND2P28,0
RP5-857K21.6,0
RP5-857K21.7,0
MTATP8P1,0
MTATP6P1,0
RP5-857K21.11,0
RP11-206L10.9,0
LINC01128,0
RP11-54O7.16,0
RP11-54O7.1,0
RP11-54O7.2,0
SAMD11,0
KLHL17,0
PLEKHN1,0
ISG15,5
AGRN,1
RP11-465B22.3,0
RP11-465B22.8,0
B3GALT6,0
RP5-902P8.10,0
SCNN1D,0
PUSL1,0
CPTP,0
RP4-758J18.2,0
RP4-758J18.13,0
RP4-758J18.7,0
VWA1,0
ATAD3B,0
ATAD3A,1
RP5-832C2.5,0
MIB2,0
RP11-345P4.10,0
RP1-140A9.1,0
CALML6,0
PRKCZ,5
SKI,23
RER1,0
PLCH2,0
RP3-395M20.12,0
TNFRSF14,0
FAM213B,0
ARHGEF16,0
TPRG1L,0
TP73,9
SMIM1,0
DFFB,0
KCNAB2,0
RNF207,0
RP1-202O8.3,0
ESPN,0
ZBTB48,0
PHF13,0
THAP3,0
CAMTA1,0
VAMP3,2
RP3-467L1.6,0
PER3,10
PARK7,15
SLC45A1,1
ENO1-AS1,0
RP3-510D11.2,0
H6PD,0
SPSB1,0
SLC25A33,0
RP13-15M17.1,0
TMEM201,0
PIK3CD,5
NMNAT1,1
RBP7,0
UBE4B,1
KIF1B,0
PGD,7
APITD1,0
CORT,5
PEX14,1
TARDBP,2
RP4-635E18.8,0
RP4-635E18.6,0
UBIAD1,4
PTCHD2,0
FBXO44,0
FBXO6,0
AGTRAP,0
CLCN6,0
NPPA-AS1,0
PLOD1,0
MFN2,2
MIIP,2
VPS13D,1
PRDM2,4
KAZN,0
TMEM51,0
EFHD2,0
DNAJC16,0
CHCHD2P6,0
DDI2,1
PLEKHM2,0
FBLIM1,0
RP11-169K16.8,0
SPEN,1
SZRD1,0
NECAP2,0
RP4-798A10.7,0
RP5-1182A14.5,0
MST1P2,0
CROCC,1
ARHGEF10L,0
ACTL8,0
IGSF21,0
KLHDC7A,0
RP1-43E13.2,0
MRTO4,0
PQLC2,0
MINOS1,0
RP5-1056L3.3,0
NBL1,4
HTR6,0
OTUD3,0
PLA2G5,1
PLA2G2F,1
PINK1,4
NBPF3,0
LINC00339,0
CDC42,85
ZBTB40,0
ZBTB40-IT1,0
EPHA8,1
EPHB2,17
KDM1A,34
RPL11,0
TCEB3,0
PITHD1,0
LYPLA2,0
PNRC2,0
GRHL3,1
NIPAL3,0
RCAN3,0
SRRM1,0
CLIC4,0
TMEM50A,0
RP3-469D22.1,0
TMEM57,0
LDLRAP1,0
RP11-70P17.1,0
MAN1C1,0
SEPN1,0
MTFR1L,0
PDIK1L,0
ZNF593,0
CNKSR1,0
CEP85,0
SH3BGRL3,1
DHDDS,0
HMGN2,2
RPS6KA1,3
ARID1A,11
PIGV,0
ZDHHC18,0
SFN,88
NUDC,4
TRNP1,0
NPM1P39,0
WDTC1,0
TMEM222,0
ACTG1P20,0
SYTL1,1
GPR3,0
RP1-159A19.3,0
FAM76A,0
STX12,0
PPP1R8,1
SMPDL3B,0
XKR8,0
ATPIF1,0
SESN2,3
MED18,0
PHACTR4,0
RCC1,3
RP4-669K10.8,0
TRNAU1AP,0
RP11-442N24__B.1,0
RNU11,0
GMEB1,0
YTHDF2,1
EPB41,1
PTPRU,0
MATN1-AS1,0
ZCCHC17,0
SERINC2,0
KHDRBS1,13
TMEM39B,0
KPNA6,0
TXLNA,0
CCDC28B,0
IQCC,0
EIF3I,1
FAM167B,0
HDAC1,95
ZBTB8A,1
RBBP4,1
KIAA1522,0
S100PBP,0
AZIN2,0
ZNF362,0
RP11-415J8.7,0
ZSCAN20,0
ZMYM1,0
ZMYM4,0
RPL5P4,0
NCDN,0
TFAP2E,1
AGO4,0
AGO1,6
AGO3,0
ADPRHL2,0
MAP7D1,0
THRAP3,1
SH3D21,0
RP11-268J15.5,0
ZC3H12A,0
RP3-423B22.5,0
DNALI1,0
CDCA8,1
MANEAL,1
C1orf122,1
RP11-109P14.10,0
UTP11L,0
RP5-864K19.4,0
AKIRIN1,0
NDUFS5,0
MACF1,0
PPIE,0
MFSD2A,0
RP3-342P20.2,0
CAP1,7
RLF,0
ZMPSTE24,1
SMAP2,0
ZFP69B,0
RP1-228H13.5,0
ZFP69,0
EXO5,1
ZNF684,0
NFYC,0
KCNQ4,0
CTPS1,0
FOXO6,2
RIMKLA,0
PPCS,4
PPIH,0
YBX1,24
C1orf50,0
ERMAP,0
ZNF691,0
SLC2A1-AS1,0
FAM183A,0
TMEM125,0
CDC20,24
SZT2,0
HYI-AS1,0
PTPRF,3
KDM4A,17
ST3GAL3,2
ARTN,0
IPO13,0
DPH2,0
ATP6V0B,0
B4GALT2,0
CCDC24,0
DMAP1,5
RNF220,0
C1orf228,0
KIF2C,2
RPS8,0
PLK3,4
BTBD19,0
UROD,0
LINC01144,0
TOE1,0
MMACHC,0
AKR1A1,2
NASP,1
TMEM69,0
MAST2,1
RP4-533D7.5,0
TSPAN1,3
RAD54L,3
UQCRH,1
NSUN4,1
FAAH,9
DMBX1,1
CYP4B1,2
CYP4X1,0
LINC00853,0
CMPK1,0
RP11-329A14.1,0
CDKN2C,9
RNF11,4
TTC39A-AS1,0
RP11-191G24.1,0
OSBPL9,0
BTF3L4,0
ZFYVE9,0
PRPF38A,0
GPX7,0
ZYG11B,0
SCP2,0
TUBBP10,0
CPT2,2
RP5-1024G6.5,0
RP4-784A16.5,0
DIO1,0
LRRC42,0
TCEANC2,0
MRPL37,0
ACOT11,0
TTC4,0
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
PCSK9,3
RP4-710M16.2,0
PRKAA2,1
FGGY,0
HOOK1,0
PGBD4P8,0
NFIA,1
INADL,0
USP1,5
ATG4C,1
ALG6,0
EFCAB7,0
PGM1,0
ROR1,5
CACHD1,0
RAVER2,0
AK4,0
DNAJC6,0
LEPROT,0
MIER1,2
GADD45A,37
SRSF11,0
HHLA3,0
CTH,5
FPGT,0
TYW3,0
ACADM,1
RABGGTB,0
TPI1P1,0
ST6GALNAC5,0
RP4-706A16.3,0
AK5,0
FAM73A,0
DNAJB4,0
PTGFR,2
IFI44,0
ADGRL2,0
PRKACB,1
RP11-82H13.2,0
SAMD13,0
DNASE2B,0
RPF1,0
CYR61,28
SH3GLB1,4
HS2ST1,0
LMO4,1
PKN2,1
TCEB1P19,0
LRRC8B,0
LRRC8D,0
ZNF326,0
CDC7,1
EPHX4,0
BTBD8,0
KIAA1107,0
RPAP2,0
RPL5,1
MTF2,1
CCDC18,0
DR1,12
FNBP1L,0
RP5-1033H22.2,0
RP4-561L24.3,0
RP11-148B18.3,0
ABCD3,2
SLC44A3,0
TMEM56,0
RWDD3,1
EEF1A1P11,0
PTBP2,0
SEC63P1,0
SNX7,0
PALMD,0
AGL,3
SLC35A3,0
HIAT1,0
TRMT13,0
RTCA,11
CDC14A,0
RP4-549L20.3,0
SLC30A7,0
RP11-421L21.3,0
RNPC3,0
SEPT2P1,0
PRMT6,6
NTNG1,0
RP11-270C12.3,0
FAM102B,0
PRPF38B,0
STXBP3,0
GPSM2,1
